,drug_co,occurs
63,"('codeine', 'hydromorphone')",87
64,"('heroin_from_combo', 'hydromorphone')",87
65,"('amphetamine', 'amphetamines')",87
66,"('morphine', 'oxycodone')",82
67,"('methamphetamine', 'morphine')",80
68,"('alprazolam', 'benzodiazepine')",80
69,"('benzoylecgonine', 'opioids')",79
70,"('delta_9_thc', 'thc_aggregate')",78
71,"('delta_9_carboxy_thc', 'thc_aggregate')",77
72,"('morphine', 'oxymorphone')",75
73,"('alprazolam', 'opioids')",75
74,"('amphetamines', 'fentanyl')",75
75,"('amphetamines', 'cocaine')",74
76,"('6_mam', 'fentanyl')",73
77,"('morphine', 'norfentanyl')",73
78,"('morphine', 'thc_aggregate')",72
79,"('amphetamine', 'opioids')",72
80,"('delta_9_thc', 'opioids')",72
81,"('6_mam', 'hydrocodone')",71
82,"('delta_9_carboxy_thc', 'delta_9_thc')",70
83,"('delta_9_carboxy_thc', 'opioids')",70
84,"('6_mam', 'methamphetamine')",68
85,"('codeine', 'hydrocodone')",68
86,"('heroin_from_combo', 'hydrocodone')",67
87,"('cocaine', 'fentanyl')",63
88,"('amphetamine', 'methamphetamine')",63
89,"('benzodiazepine', 'norfentanyl')",63
90,"('benzodiazepine', 'clonazepam')",61
91,"('amphetamines', 'mda')",61
92,"('hydrocodone', 'oxymorphone')",60
93,"('hydrocodone', 'oxycodone')",59
94,"('benzodiazepine', 'thc_aggregate')",59
95,"('benzodiazepine', 'methamphetamine')",58
96,"('codeine', 'methamphetamine')",58
97,"('heroin_from_combo', 'methamphetamine')",58
98,"('7aminoclonazepam', 'benzodiazepine')",58
99,"('codeine', 'fentanyl')",58
100,"('fentanyl', 'heroin_from_combo')",58
101,"('hydromorphone', 'oxymorphone')",57
102,"('clonazepam', 'opioids')",56
103,"('benzoylecgonine', 'cocaine')",55
104,"('alcohols', 'hydrocodone')",54
105,"('ethanol', 'hydrocodone')",54
106,"('6_mam', 'thc_aggregate')",54
107,"('7aminoclonazepam', 'opioids')",54
108,"('6_mam', 'oxycodone')",53
109,"('fentanyl', 'methamphetamine')",53
110,"('mda', 'opioids')",53
111,"('benzoylecgonine', 'morphine')",52
112,"('amphetamines', 'norfentanyl')",52
113,"('hydromorphone', 'oxycodone')",51
114,"('alcohols', 'fentanyl')",50
115,"('ethanol', 'fentanyl')",50
116,"('codeine', 'oxycodone')",50
117,"('6_mam', 'oxymorphone')",50
118,"('codeine', 'oxymorphone')",50
119,"('heroin_from_combo', 'oxymorphone')",49
120,"('fentanyl', 'thc_aggregate')",49
121,"('heroin_from_combo', 'oxycodone')",48
122,"('benzoylecgonine', 'fentanyl')",48
123,"('delta_9_carboxy_thc', 'morphine')",46
124,"('delta_9_thc', 'morphine')",46
125,"('alprazolam', 'morphine')",45
126,"('cardiovascular', 'opioids')",45
127,"('fentanyl', 'hydromorphone')",44
128,"('6_mam', 'norfentanyl')",44
129,"('codeine', 'thc_aggregate')",43
130,"('heroin_from_combo', 'thc_aggregate')",43
131,"('fentanyl', 'hydrocodone')",42
132,"('alcohols', 'oxycodone')",42
133,"('ethanol', 'oxycodone')",42
134,"('amphetamine', 'morphine')",42
135,"('delta_9_thc', 'fentanyl')",42
136,"('mda', 'morphine')",41
137,"('norfentanyl', 'thc_aggregate')",41
138,"('methadone', 'opioids')",40
139,"('fentanyl', 'oxycodone')",40
140,"('benzodiazepine', 'nordiazapam')",40
141,"('cocaine', 'mda')",40
142,"('amphetamine', 'fentanyl')",40
143,"('amphetamines', 'hydrocodone')",39
144,"('benzoylecgonine', 'norfentanyl')",39
145,"('antidepressants', 'opioids')",38
146,"('amphetamines', 'thc_aggregate')",38
147,"('delta_9_carboxy_thc', 'fentanyl')",38
148,"('cocaine', 'hydromorphone')",37
149,"('cocaine', 'hydrocodone')",37
150,"('nordiazapam', 'opioids')",37
151,"('6_mam', 'alprazolam')",37
152,"('antipsycotics', 'opioids')",37
153,"('6_mam', 'benzoylecgonine')",36
154,"('6_mam', 'mda')",36
155,"('alcohols', 'oxymorphone')",35
156,"('ethanol', 'oxymorphone')",35
157,"('alcohols', 'amphetamines')",35
158,"('amphetamines', 'ethanol')",35
159,"('codeine', 'mda')",35
160,"('heroin_from_combo', 'mda')",35
161,"('antipsycotics', 'benzodiazepine')",35
162,"('methamphetamine', 'norfentanyl')",35
163,"('alprazolam', 'fentanyl')",35
164,"('delta_9_thc', 'norfentanyl')",35
165,"('alcohols', 'thc_aggregate')",34
166,"('ethanol', 'thc_aggregate')",34
167,"('7aminoclonazepam', 'morphine')",34
168,"('clonazepam', 'morphine')",34
169,"('antidepressants', 'paroxetine')",34
170,"('antipsycotics', 'quetiapine')",34
171,"('11_hydroxy_delta_9_thc', 'thc_aggregate')",34
172,"('codeine', 'norfentanyl')",33
173,"('heroin_from_combo', 'norfentanyl')",33
174,"('6_mam', 'delta_9_carboxy_thc')",33
175,"('6_mam', 'delta_9_thc')",33
176,"('11_hydroxy_delta_9_thc', 'delta_9_carboxy_thc')",33
177,"('11_hydroxy_delta_9_thc', 'delta_9_thc')",33
178,"('alcohols', 'hydromorphone')",32
179,"('ethanol', 'hydromorphone')",32
180,"('cocaine', 'methamphetamine')",32
181,"('cocaine', 'oxycodone')",32
182,"('benzoylecgonine', 'thc_aggregate')",32
183,"('thc', 'thc_aggregate')",32
184,"('cardiovascular', 'morphine')",32
185,"('opioids', 'quetiapine')",32
186,"('11_hydroxy_delta_9_thc', 'opioids')",32
187,"('benzodiazepine', 'methadone')",31
188,"('fentanyl', 'oxymorphone')",31
189,"('alprazolam', 'thc_aggregate')",31
190,"('6_mam', 'clonazepam')",31
191,"('benzodiazepine', 'cardiovascular')",31
192,"('alprazolam', 'norfentanyl')",31
193,"('delta_9_carboxy_thc', 'norfentanyl')",31
194,"('opioids', 'thc')",30
195,"('anticonvulsants', 'opioids')",30
196,"('clonazepam', 'codeine')",30
197,"('clonazepam', 'heroin_from_combo')",30
198,"('6_mam', 'cardiovascular')",30
199,"('benzodiazepine', 'quetiapine')",30
200,"('alprazolam', 'codeine')",29
201,"('alprazolam', 'heroin_from_combo')",29
202,"('amphetamines', 'cardiovascular')",29
203,"('cardiovascular', 'codeine')",29
204,"('cardiovascular', 'heroin_from_combo')",29
205,"('cocaine', 'norfentanyl')",29
206,"('benzodiazepine', 'delta_9_thc')",29
207,"('amphetamine', 'norfentanyl')",29
208,"('antidepressants', 'benzodiazepine')",28
209,"('7aminoclonazepam', 'antipsycotics')",28
210,"('7aminoclonazepam', 'quetiapine')",28
211,"('cocaine', 'oxymorphone')",27
212,"('6_mam', '7aminoclonazepam')",27
213,"('amphetamines', 'hydromorphone')",27
214,"('benzodiazepine', 'delta_9_carboxy_thc')",27
215,"('amphetamine', 'thc_aggregate')",27
216,"('eddp', 'opioids')",26
217,"('amphetamines', 'oxycodone')",26
218,"('dextromethorphan', 'otc_cold_remedies')",26
219,"('6_mam', 'amphetamine')",26
220,"('benzoylecgonine', 'delta_9_carboxy_thc')",25
221,"('7aminoclonazepam', 'fentanyl')",25
222,"('alcohols', 'norfentanyl')",25
223,"('ethanol', 'norfentanyl')",25
224,"('codeine', 'delta_9_thc')",25
225,"('delta_9_thc', 'heroin_from_combo')",25
226,"('benzoylecgonine', 'codeine')",24
227,"('benzoylecgonine', 'heroin_from_combo')",24
228,"('anticonvulsants', 'antidepressants')",24
229,"('benzodiazepine', 'eddp')",24
230,"('opiates', 'opioids')",24
231,"('amphetamines', 'benzoylecgonine')",24
232,"('benzodiazepine', 'lorazepam')",24
233,"('benzoylecgonine', 'delta_9_thc')",24
234,"('opioids', 'paroxetine')",24
235,"('cardiovascular', 'diltiazem')",24
236,"('alprazolam', 'delta_9_thc')",24
237,"('codeine', 'delta_9_carboxy_thc')",24
238,"('delta_9_carboxy_thc', 'heroin_from_combo')",24
239,"('benzodiazepine', 'benzoylecgonine')",23
240,"('antihistamines', 'opioids')",23
241,"('7aminoclonazepam', 'codeine')",23
242,"('7aminoclonazepam', 'heroin_from_combo')",23
243,"('antidepressants', 'eddp')",23
244,"('antidepressants', 'stimulants')",23
245,"('opioids', 'stimulants')",23
246,"('anticonvulsants', 'benzodiazepine')",23
247,"('amphetamine', 'benzodiazepine')",23
248,"('methamphetamine', 'thc_aggregate')",23
249,"('7aminoclonazepam', 'norfentanyl')",23
250,"('alprazolam', 'delta_9_carboxy_thc')",23
251,"('amphetamines', 'delta_9_carboxy_thc')",23
252,"('otc_cold_remedies', 'opioids')",22
253,"('amphetamines', 'oxymorphone')",22
254,"('morphine', 'nordiazapam')",22
255,"('cocaine', 'thc_aggregate')",22
256,"('amphetamines', 'delta_9_thc')",22
257,"('alcohols', 'methamphetamine')",21
258,"('ethanol', 'methamphetamine')",21
259,"('benzodiazepine', 'thc')",21
260,"('benzodiazepine', 'mda')",21
261,"('lorazepam', 'opioids')",21
262,"('antidepressants', 'dextromethorphan')",21
263,"('antidepressants', 'otc_cold_remedies')",21
264,"('diltiazem', 'opioids')",21
265,"('amphetamines', 'diltiazem')",21
266,"('cardiovascular', 'methamphetamine')",21
267,"('diltiazem', 'methamphetamine')",21
268,"('thc_aggregate', 'thc_cooh')",20
269,"('dextromethorphan', 'opioids')",20
270,"('hydrocodone', 'methamphetamine')",20
271,"('eddp', 'paroxetine')",20
272,"('clonazepam', 'fentanyl')",20
273,"('amphetamines', 'antipsycotics')",20
274,"('alcohols', 'antidepressants')",20
275,"('antidepressants', 'ethanol')",20
276,"('amphetamine', 'delta_9_carboxy_thc')",20
277,"('eddp', 'methadone')",19
278,"('amphetamine', 'benzoylecgonine')",19
279,"('dihydrocodeine', 'opioids')",19
280,"('dextromethorphan', 'paroxetine')",19
281,"('otc_cold_remedies', 'paroxetine')",19
282,"('11_hydroxy_delta_9_thc', 'morphine')",19
283,"('amphetamine', 'delta_9_thc')",19
284,"('opioids', 'thc_cooh')",18
285,"('methamphetamine', 'oxycodone')",18
286,"('benzodiazepine', 'paroxetine')",18
287,"('cardiovascular', 'metoprolol')",18
288,"('anticonvulsants', 'paroxetine')",18
289,"('amphetamines', 'methadone')",18
290,"('alcohols', 'stimulants')",18
291,"('ethanol', 'stimulants')",18
292,"('antipsycotics', 'morphine')",18
293,"('morphine', 'quetiapine')",18
294,"('carboxy_thc', 'thc_aggregate')",17
295,"('benzodiazepine', 'diazepam')",17
296,"('tramadol', 'tramadol_aggregate')",17
297,"('amphetamines', 'clonazepam')",17
298,"('benzodiazepine', 'stimulants')",17
299,"('fentanyl', 'mda')",17
300,"('amphetamine', 'hydrocodone')",17
301,"('6_mam', 'nordiazapam')",17
302,"('amphetamines', 'quetiapine')",17
303,"('hydrocodone', 'thc_aggregate')",16
304,"('alcohols', 'benzoylecgonine')",16
305,"('benzoylecgonine', 'ethanol')",16
306,"('carboxy_thc', 'opioids')",16
307,"('7aminoclonazepam', 'alprazolam')",16
308,"('oxycodone', 'thc_aggregate')",16
309,"('benzoylecgonine', 'methamphetamine')",16
310,"('antihistamines', 'cardiovascular')",16
311,"('metoprolol', 'opioids')",16
312,"('opioids', 'sedatives_hypnotics')",16
313,"('cocaethylene', 'opioids')",16
314,"('anticonvulsants', 'dextromethorphan')",16
315,"('anticonvulsants', 'otc_cold_remedies')",16
316,"('dextromethorphan', 'eddp')",16
317,"('eddp', 'otc_cold_remedies')",16
318,"('6_mam', 'diltiazem')",16
319,"('codeine', 'diltiazem')",16
320,"('diltiazem', 'heroin_from_combo')",16
321,"('diltiazem', 'morphine')",16
322,"('amphetamine', 'codeine')",16
323,"('amphetamine', 'heroin_from_combo')",16
324,"('antipsycotics', 'fentanyl')",16
325,"('codeine', 'nordiazapam')",16
326,"('heroin_from_combo', 'nordiazapam')",16
327,"('6_mam', 'antipsycotics')",16
328,"('6_mam', 'quetiapine')",16
329,"('alcohols', 'delta_9_carboxy_thc')",16
330,"('delta_9_carboxy_thc', 'ethanol')",16
331,"('11_hydroxy_delta_9_thc', 'fentanyl')",16
332,"('11_hydroxy_delta_9_thc', 'norfentanyl')",16
333,"('methadone', 'thc_aggregate')",15
334,"('alprazolam', 'hydrocodone')",15
335,"('6_mam', 'antihistamines')",15
336,"('antihistamines', 'codeine')",15
337,"('antihistamines', 'heroin_from_combo')",15
338,"('antihistamines', 'morphine')",15
339,"('diazepam', 'opioids')",15
340,"('alprazolam', 'oxycodone')",15
341,"('benzodiazepine', 'dextromethorphan')",15
342,"('benzodiazepine', 'otc_cold_remedies')",15
343,"('cardiovascular', 'clonazepam')",15
344,"('caffeine', 'stimulants')",15
345,"('antipsycotics', 'norfentanyl')",15
346,"('clonazepam', 'norfentanyl')",15
347,"('7aminoclonazepam', 'amphetamines')",15
348,"('fentanyl', 'quetiapine')",15
349,"('antipsycotics', 'codeine')",15
350,"('antipsycotics', 'heroin_from_combo')",15
351,"('codeine', 'quetiapine')",15
352,"('heroin_from_combo', 'quetiapine')",15
353,"('11_hydroxy_delta_9_thc', '6_mam')",15
354,"('alcohols', 'delta_9_thc')",15
355,"('delta_9_thc', 'ethanol')",15
356,"('benzodiazepine', 'thc_cooh')",14
357,"('thc', 'thc_cooh')",14
358,"('methadone', 'morphine')",14
359,"('analgesics', 'benzodiazepine')",14
360,"('benzodiazepine', 'verapamil')",14
361,"('cardiovascular', 'verapamil')",14
362,"('clonazepam', 'verapamil')",14
363,"('analgesics', 'antidepressants')",14
364,"('paroxetine', 'stimulants')",14
365,"('amphetamines', 'sedatives_hypnotics')",14
366,"('benzodiazepine', 'dihydrocodeine')",14
367,"('anticonvulsants', 'eddp')",14
368,"('anticonvulsants', 'antipsycotics')",14
369,"('mda', 'norfentanyl')",14
370,"('norfentanyl', 'quetiapine')",14
371,"('cocaine', 'delta_9_carboxy_thc')",14
372,"('cocaine', 'delta_9_thc')",14
373,"('amphetamine', 'cocaine')",14
374,"('delta_9_carboxy_thc', 'methamphetamine')",14
375,"('11_hydroxy_delta_9_thc', 'benzodiazepine')",14
376,"('alcohols', 'carboxy_thc')",13
377,"('carboxy_thc', 'ethanol')",13
378,"('benzodiazepine', 'oxazepam')",13
379,"('alprazolam', 'benzoylecgonine')",13
380,"('antihistamines', 'benzodiazepine')",13
381,"('hydromorphone', 'methamphetamine')",13
382,"('methamphetamine', 'oxymorphone')",13
383,"('oxymorphone', 'thc_aggregate')",13
384,"('7aminoclonazepam', 'clonazepam')",13
385,"('opioids', 'verapamil')",13
386,"('analgesics', 'opioids')",13
387,"('antidepressants', 'hydrocodone')",13
388,"('alcohols', 'cardiovascular')",13
389,"('cardiovascular', 'ethanol')",13
390,"('metoprolol', 'morphine')",13
391,"('miscellaneous', 'opioids')",13
392,"('amphetamines', 'antidepressants')",13
393,"('amphetamines', 'ephedrine')",13
394,"('alcohols', 'paroxetine')",13
395,"('ethanol', 'paroxetine')",13
396,"('benzodiazepine', 'opiates')",13
397,"('alprazolam', 'amphetamines')",13
398,"('delta_9_thc', 'methamphetamine')",13
399,"('11_hydroxy_delta_9_thc', 'alprazolam')",13
400,"('hydromorphone', 'thc_aggregate')",12
401,"('carboxy_thc', 'morphine')",12
402,"('antidepressants', 'hydromorphone')",12
403,"('antidepressants', 'morphine')",12
404,"('7aminoclonazepam', 'thc_aggregate')",12
405,"('methadone', 'oxycodone')",12
406,"('alcohols', 'alprazolam')",12
407,"('alprazolam', 'ethanol')",12
408,"('antihistamines', 'diphenhydramine')",12
409,"('opioids', 'tramadol')",12
410,"('opioids', 'tramadol_aggregate')",12
411,"('hydromorphone', 'stimulants')",12
412,"('amphetamines', 'antihistamines')",12
413,"('mda', 'sedatives_hypnotics')",12
414,"('cardiovascular', 'thc_aggregate')",12
415,"('anticonvulsants', 'gabapentin')",12
416,"('cocaethylene', 'morphine')",12
417,"('amphetamines', 'anticonvulsants')",12
418,"('anticonvulsants', 'stimulants')",12
419,"('antidepressants', 'tramadol')",12
420,"('antidepressants', 'tramadol_aggregate')",12
421,"('dextromethorphan', 'tramadol')",12
422,"('dextromethorphan', 'tramadol_aggregate')",12
423,"('otc_cold_remedies', 'tramadol')",12
424,"('otc_cold_remedies', 'tramadol_aggregate')",12
425,"('ephedrine', 'opioids')",12
426,"('benzodiazepine', 'diltiazem')",12
427,"('antidepressants', 'cardiovascular')",12
428,"('alcohols', 'anticonvulsants')",12
429,"('anticonvulsants', 'ethanol')",12
430,"('norfentanyl', 'oxycodone')",12
431,"('dihydrocodeine', 'hydrocodone')",12
432,"('cotinine', 'stimulants')",12
433,"('hydrocodone', 'methadone')",11
434,"('eddp', 'hydrocodone')",11
435,"('6_mam', 'carboxy_thc')",11
436,"('6_mam', 'methadone')",11
437,"('opioids', 'oxazepam')",11
438,"('alprazolam', 'oxymorphone')",11
439,"('antidepressants', 'thc_aggregate')",11
440,"('analgesics', 'paroxetine')",11
441,"('eddp', 'stimulants')",11
442,"('6_mam', 'metoprolol')",11
443,"('antihistamines', 'metoprolol')",11
444,"('lorazepam', 'thc_aggregate')",11
445,"('amphetamines', 'paroxetine')",11
446,"('dextromethorphan', 'stimulants')",11
447,"('otc_cold_remedies', 'stimulants')",11
448,"('paroxetine', 'tramadol')",11
449,"('paroxetine', 'tramadol_aggregate')",11
450,"('amphetamines', 'mdma')",11
451,"('clonazepam', 'oxycodone')",11
452,"('amphetamines', 'nordiazapam')",11
453,"('fentanyl', 'nordiazapam')",11
454,"('11_hydroxy_delta_9_thc', 'codeine')",11
455,"('11_hydroxy_delta_9_thc', 'heroin_from_combo')",11
456,"('benzoylecgonine', 'cocaethylene')",11
457,"('acetylfetanyl', 'fentanyl')",11
458,"('acetylfetanyl', 'opioids')",11
459,"('eddp', 'hydromorphone')",10
460,"('carboxy_thc', 'codeine')",10
461,"('carboxy_thc', 'heroin_from_combo')",10
462,"('morphine', 'thc')",10
463,"('anticonvulsants', 'fentanyl')",10
464,"('anticonvulsants', 'morphine')",10
465,"('alprazolam', 'hydromorphone')",10
466,"('benzodiazepine', 'aohalprazolam')",10
467,"('methadone', 'oxymorphone')",10
468,"('alcohols', 'antihistamines')",10
469,"('antihistamines', 'ethanol')",10
470,"('acetaminophen', 'analgesics')",10
471,"('amphetamines', 'otc_cold_remedies')",10
472,"('antidepressants', 'barbituates')",10
473,"('cardiovascular', 'mda')",10
474,"('analgesics', 'stimulants')",10
475,"('hydrocodone', 'stimulants')",10
476,"('alcohols', 'mda')",10
477,"('antihistamines', 'hydroxyzine')",10
478,"('cardiovascular', 'fentanyl')",10
479,"('cardiovascular', 'hydroxyzine')",10
480,"('cocaine', 'sedatives_hypnotics')",10
481,"('codeine', 'metoprolol')",10
482,"('ethanol', 'mda')",10
483,"('heroin_from_combo', 'metoprolol')",10
484,"('hydroxyzine', 'metoprolol')",10
485,"('analgesics', 'anticonvulsants')",10
486,"('anticonvulsants', 'hydrocodone')",10
487,"('antidepressants', 'gabapentin')",10
488,"('benzodiazepine', 'miscellaneous')",10
489,"('lorazepam', 'morphine')",10
490,"('clonazepam', 'hydrocodone')",10
491,"('mdma', 'methadone')",10
492,"('hydromorphone', 'norfentanyl')",10
493,"('morphine', 'paroxetine')",10
494,"('diazepam', 'morphine')",10
495,"('7aminoclonazepam', 'anticonvulsants')",10
496,"('7aminoclonazepam', 'valproicacid')",10
497,"('anticonvulsants', 'quetiapine')",10
498,"('anticonvulsants', 'valproicacid')",10
499,"('antipsycotics', 'valproicacid')",10
500,"('benzodiazepine', 'valproicacid')",10
501,"('opioids', 'valproicacid')",10
502,"('quetiapine', 'valproicacid')",10
503,"('11_hydroxy_delta_9_thc', 'amphetamines')",10
504,"('nicotine', 'stimulants')",10
505,"('alprazolam', 'amphetamine')",10
506,"('anticonvulsants', 'hydromorphone')",9
507,"('codeine', 'methadone')",9
508,"('heroin_from_combo', 'methadone')",9
509,"('alprazolam', 'methadone')",9
510,"('7aminoclonazepam', 'hydrocodone')",9
511,"('opioids', 'aohalprazolam')",9
512,"('methadone', 'thc')",9
513,"('diazepam', 'nordiazapam')",9
514,"('hydromorphone', 'nordiazapam')",9
515,"('nordiazapam', 'oxymorphone')",9
516,"('eddp', 'morphine')",9
517,"('antidepressants', 'citalopram')",9
518,"('benzodiazepine', 'tramadol')",9
519,"('benzodiazepine', 'tramadol_aggregate')",9
520,"('antidepressants', 'trazodone')",9
521,"('barbituates', 'paroxetine')",9
522,"('6_mam', 'verapamil')",9
523,"('codeine', 'verapamil')",9
524,"('heroin_from_combo', 'verapamil')",9
525,"('morphine', 'verapamil')",9
526,"('analgesics', 'eddp')",9
527,"('barbituates', 'opioids')",9
528,"('hydrocodone', 'paroxetine')",9
529,"('hydromorphone', 'paroxetine')",9
530,"('alcohols', 'metoprolol')",9
531,"('ethanol', 'metoprolol')",9
532,"('hydroxyzine', 'opioids')",9
533,"('alcohols', 'cocaethylene')",9
534,"('clonazepam', 'nordiazapam')",9
535,"('cocaethylene', 'ethanol')",9
536,"('cocaethylene', 'thc_aggregate')",9
537,"('lorazepam', 'thc')",9
538,"('gabapentin', 'opioids')",9
539,"('benzodiazepine', 'metoprolol')",9
540,"('miscellaneous', 'stimulants')",9
541,"('amphetamines', 'eddp')",9
542,"('anticonvulsants', 'tramadol')",9
543,"('anticonvulsants', 'tramadol_aggregate')",9
544,"('eddp', 'tramadol')",9
545,"('eddp', 'tramadol_aggregate')",9
546,"('6_mam', 'cocaethylene')",9
547,"('antipsycotics', 'clonazepam')",9
548,"('cardiovascular', 'norfentanyl')",9
549,"('clonazepam', 'methadone')",9
550,"('alcohols', 'dextromethorphan')",9
551,"('alcohols', 'otc_cold_remedies')",9
552,"('dextromethorphan', 'ethanol')",9
553,"('ethanol', 'otc_cold_remedies')",9
554,"('antipsycotics', 'mda')",9
555,"('mda', 'quetiapine')",9
556,"('antidepressants', 'miscellaneous')",9
557,"('amphetamines', 'phenylpropanolamine')",9
558,"('nordiazapam', 'norfentanyl')",9
559,"('11_hydroxy_delta_9_thc', 'amphetamine')",9
560,"('cocaethylene', 'cocaine')",9
561,"('opiates', 'thc')",9
562,"('opiates', 'thc_aggregate')",9
563,"('acetylfetanyl', 'norfentanyl')",9
564,"('eddp', 'thc_aggregate')",8
565,"('6_mam', 'thc')",8
566,"('alcohols', 'thc')",8
567,"('ethanol', 'thc')",8
568,"('morphine', 'thc_cooh')",8
569,"('antidepressants', 'fentanyl')",8
570,"('nordiazapam', 'oxycodone')",8
571,"('7aminoclonazepam', 'alcohols')",8
572,"('7aminoclonazepam', 'ethanol')",8
573,"('diphenhydramine', 'opioids')",8
574,"('6_mam', 'anticonvulsants')",8
575,"('alcohols', 'eddp')",8
576,"('eddp', 'ethanol')",8
577,"('alcohols', 'analgesics')",8
578,"('analgesics', 'ethanol')",8
579,"('clonazepam', 'mda')",8
580,"('analgesics', 'hydrocodone')",8
581,"('sedatives_hypnotics', 'stimulants')",8
582,"('benzodiazepine', 'cocaethylene')",8
583,"('dihydrocodeine', 'nordiazapam')",8
584,"('analgesics', 'gabapentin')",8
585,"('antidepressants', 'oxycodone')",8
586,"('metoprolol', 'thc_aggregate')",8
587,"('stimulants', 'thc_aggregate')",8
588,"('antidepressants', 'sedatives_hypnotics')",8
589,"('benzodiazepine', 'ephedrine')",8
590,"('cocaethylene', 'codeine')",8
591,"('cocaethylene', 'heroin_from_combo')",8
592,"('antihistamines', 'doxylamine')",8
593,"('antihistamines', 'thc_aggregate')",8
594,"('anticonvulsants', 'norfentanyl')",8
595,"('cardiovascular', 'paroxetine')",8
596,"('hydrocodone', 'norfentanyl')",8
597,"('6_mam', 'antidepressants')",8
598,"('antidepressants', 'codeine')",8
599,"('antidepressants', 'heroin_from_combo')",8
600,"('antihistamines', 'methamphetamine')",8
601,"('benzodiazepine', 'mdma')",8
602,"('norfentanyl', 'oxymorphone')",8
603,"('dextromethorphan', 'miscellaneous')",8
604,"('miscellaneous', 'otc_cold_remedies')",8
605,"('opioids', 'phenylpropanolamine')",8
606,"('clonazepam', 'quetiapine')",8
607,"('dihydrocodeine', 'hydromorphone')",8
608,"('cotinine', 'opioids')",8
609,"('amphetamine', 'phenylpropanolamine')",8
610,"('11_hydroxy_delta_9_thc', 'benzoylecgonine')",8
611,"('alprazolam', 'methamphetamine')",8
612,"('alcohols', 'caffeine')",8
613,"('caffeine', 'ethanol')",8
614,"('alprazolam', 'cocaine')",8
615,"('acetylfetanyl', 'morphine')",8
616,"('acetylfetanyl', 'benzoylecgonine')",8
617,"('methadone', 'thc_cooh')",7
618,"('morphine', 'otc_cold_remedies')",7
619,"('benzodiazepine', 'temazepam')",7
620,"('hydrocodone', 'nordiazapam')",7
621,"('methadone', 'nordiazapam')",7
622,"('oxycodone', 'thc')",7
623,"('antidepressants', 'methadone')",7
624,"('alcohols', 'methadone')",7
625,"('ethanol', 'methadone')",7
626,"('antidepressants', 'antihistamines')",7
627,"('amphetamines', 'dextromethorphan')",7
628,"('fentanyl', 'otc_cold_remedies')",7
629,"('barbituates', 'eddp')",7
630,"('paroxetine', 'thc_aggregate')",7
631,"('antidepressants', 'fluoxetine')",7
632,"('barbituates', 'stimulants')",7
633,"('caffeine', 'opioids')",7
634,"('6_mam', 'hydroxyzine')",7
635,"('codeine', 'hydroxyzine')",7
636,"('heroin_from_combo', 'hydroxyzine')",7
637,"('hydroxyzine', 'morphine')",7
